,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
3_14,SG_20170123.csv.gz,14,3.5,3.75,275,True,911.1610877814846,0.11116694504386904,3305.4199573866795,6402.434243828531,False,False,False,0,False,False,False,0,True,True,True,3
3_15,SG_20170123.csv.gz,15,3.75,4.0,267,True,913.5833330904269,0.13532687833301102,17792.21797884565,38201.26481043021,True,True,True,3,False,True,False,1,True,True,True,3
3_16,SG_20170123.csv.gz,16,4.0,4.25,231,True,598.5542885931402,0.12328069076672707,7054.878560725182,18045.406841102355,False,True,False,1,False,False,False,0,True,True,True,3
3_17,SG_20170123.csv.gz,17,4.25,4.5,163,True,252.5069542361929,0.09782646935953561,6591.359254565588,15620.448078601386,False,False,True,1,False,False,False,0,True,True,True,3
3_18,SG_20170123.csv.gz,18,4.5,4.75,375,True,1671.2022960161887,0.17725912261484947,62276.453355331745,124556.35966503854,True,True,True,3,False,True,False,1,True,True,True,3
3_19,SG_20170123.csv.gz,19,4.75,5.0,311,True,950.9859573493196,0.1638204648094588,16046.794805396637,35264.720796564216,False,True,False,1,False,False,False,0,True,True,True,3
3_20,SG_20170123.csv.gz,20,5.0,5.25,336,True,1433.1897741562161,0.14402970481942712,18905.366666180525,33607.82681144483,False,True,False,1,False,False,False,0,True,True,True,3
3_21,SG_20170123.csv.gz,21,5.25,5.5,402,True,1495.4094233760384,0.21485969749610498,47398.725538004124,113560.11235586143,False,False,False,0,True,True,False,2,True,True,True,3
3_22,SG_20170123.csv.gz,22,5.5,5.75,207,True,503.4383338794979,0.11054192257864309,4997.674108112062,21836.38361599203,True,True,True,3,True,True,True,3,True,True,True,3
3_23,SG_20170123.csv.gz,23,5.75,6.0,275,True,919.2568704240581,0.1414196487001738,16374.281848122206,40885.61850690313,True,True,True,3,False,False,False,0,True,True,True,3
3_24,SG_20170123.csv.gz,24,6.0,6.25,302,True,886.0574610156476,0.15407460711026838,6961.966051850244,19714.755290464727,True,True,True,3,False,True,False,1,True,True,True,3
3_25,SG_20170123.csv.gz,25,6.25,6.5,291,True,799.2370524636303,0.1570366084779541,7791.250299127881,22315.640955895902,False,False,False,0,False,True,False,1,True,True,True,3
3_26,SG_20170123.csv.gz,26,6.5,6.75,406,True,958.7205684659193,0.2398008669923973,8276.570028108505,25662.01333674304,False,True,True,2,False,True,False,1,True,True,True,3
3_27,SG_20170123.csv.gz,27,6.75,7.0,378,True,1392.2616872637543,0.1882104288107136,16801.56662217204,44122.455613893915,False,True,False,1,False,True,False,1,True,True,True,3
